HouseholdSurvey.earninc_hihsp,HouseholdSurvey.hihage,HouseholdSurvey.hihgender,HouseholdSurvey.hihecon,HouseholdSurvey.specon,HouseholdSurvey.age_1,HouseholdSurvey.hhwork,HouseholdSurvey.hedqual8,HouseholdSurvey.nssec2,HouseholdSurvey.seg,HouseholdSurvey.tothinc,HouseholdSurvey.ha7_1,HouseholdSurvey.hb509,HouseholdSurvey.save1,HouseholdSurvey.credit109a,HouseholdSurvey.credit309c,HouseholdSurvey.hcost_amt,HouseholdSurvey.hk2
17000,35,2,2,3,8,3,4,9,17,4,3,4,NA,NA,NA,440,3
0,68,1,5,5,14,5,4,1,1,3,5,2,3,1,0,NA,1
60000,54,1,2,4,11,4,2,1,1,8,4,2,NA,NA,NA,NA,1
12000,50,2,2,1,10,3,2,4,2,3,2,2,NA,NA,NA,NA,3
0,70,2,5,NA,14,2,5,9,17,NA,5,2,NA,NA,NA,NA,8
19000,60,2,2,NA,12,1,4,3,6,5,2,1,NA,NA,NA,400,2
24000,46,1,2,4,7,4,5,7,9,6,4,1,NA,NA,NA,600,3
0,72,1,5,5,14,5,5,9,17,6,5,2,NA,NA,NA,NA,1
25000,57,1,2,NA,12,1,2,5,9,5,2,1,NA,NA,NA,400,2
11000,50,2,3,NA,10,1,2,6,10,7,3,4,NA,NA,NA,450,3
31000,35,2,2,NA,7,1,4,2,2,7,2,2,NA,NA,NA,NA,4
10000,38,1,2,NA,8,1,2,6,6,3,2,1,NA,NA,NA,240,3
20000,58,1,2,NA,12,1,4,5,8,7,2,4,NA,NA,NA,560,5
0,45,1,11,11,10,5,1,6,6,4,11,4,1,1,0,440,5
0,76,2,5,NA,16,2,1,9,17,4,5,4,3,0,0,500,1
27000,54,2,2,NA,11,1,2,6,10,6,2,1,NA,NA,NA,250,2
62000,32,2,2,2,7,3,4,1,4,8,2,1,NA,NA,NA,1000,1
42000,43,2,2,2,9,3,1,3,6,8,2,4,1,1,0,530,5
0,86,2,5,NA,18,2,4,2,5,4,5,2,NA,NA,NA,NA,1
0,61,2,5,NA,13,2,4,5,10,8,5,2,NA,NA,NA,NA,2
42000,37,1,2,2,8,3,4,1,4,8,2,1,NA,NA,NA,800,3
28000,54,1,2,NA,11,1,2,2,5,6,2,1,NA,NA,NA,530,3
0,19,2,8,NA,4,2,3,9,17,2,8,4,NA,NA,NA,1000,3
62000,40,1,2,2,8,3,4,1,4,8,2,1,NA,NA,NA,1000,1
0,22,1,8,NA,5,2,4,9,17,NA,8,4,NA,NA,NA,650,3
33000,58,2,2,3,12,3,4,2,5,7,2,2,NA,NA,NA,NA,2
36000,43,2,2,NA,9,1,4,2,2,7,2,4,1,1,0,850,3
20000,49,2,2,NA,10,1,4,2,2,7,2,1,NA,NA,NA,500,4
12000,46,2,3,NA,10,1,1,2,2,6,3,4,NA,NA,NA,800,3
42000,50,1,2,2,10,3,4,1,4,8,2,2,NA,NA,NA,NA,2
